epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1
0,0.7521551847457886,0.0010000000474974513,0.7289920449256897,0.9318181872367859,0.2683955132961273,0.8946452887888876
1,0.8952586054801941,0.0010000000474974513,0.2979167103767395,0.9613636136054993,0.1169266626238823,0.9394297241066936
2,0.9219827651977539,0.0010000000474974513,0.22476154565811157,0.9704545736312866,0.08344674855470657,0.9537398197314513
3,0.9437500238418579,0.0010000000474974513,0.17636369168758392,0.9863636493682861,0.05172472074627876,0.9784236022636127
4,0.9461206793785095,0.0010000000474974513,0.15506884455680847,0.9920454621315002,0.03835031017661095,0.9874974258606372
5,0.9454741477966309,0.0010000000474974513,0.1516122967004776,0.9909090995788574,0.034056831151247025,0.9856666627873901
6,0.9491379261016846,0.0010000000474974513,0.14599469304084778,0.9897727370262146,0.034251339733600616,0.9838802015580191
7,0.9525862336158752,0.0010000000474974513,0.13652688264846802,0.9931818246841431,0.031693413853645325,0.989261701751951
8,0.9534482955932617,0.0010000000474974513,0.1313743144273758,0.9886363744735718,0.03581894561648369,0.9821490529573061
9,0.9551724195480347,0.0010000000474974513,0.13528457283973694,0.987500011920929,0.031190935522317886,0.9802840786850032
10,0.9603448510169983,0.0010000000474974513,0.11346330493688583,0.9931818246841431,0.02949005737900734,0.989227802244503
11,0.9584051966667175,0.0010000000474974513,0.12116561084985733,0.9897727370262146,0.026545800268650055,0.9845680320492077
12,0.9577586054801941,0.0010000000474974513,0.1164323091506958,0.9909090995788574,0.028294630348682404,0.9856447913306641
13,0.9579741358757019,0.0010000000474974513,0.12066000699996948,0.9909090995788574,0.029794732108712196,0.9856197769425143
14,0.9612069129943848,0.0010000000474974513,0.1054975837469101,0.9931818246841431,0.026454303413629532,0.9891801141208639
15,0.9637930989265442,0.0002500000118743628,0.09981129318475723,0.9931818246841431,0.026879677549004555,0.9891801141208639
