epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1
0,0.9633620977401733,9.999999747378752e-06,0.10817762464284897,0.9943181872367859,0.029462775215506554,0.9910472791068867
1,0.9689655303955078,9.999999747378752e-06,0.09720373898744583,0.9943181872367859,0.027158940210938454,0.9910472791068867
2,0.9711207151412964,9.999999747378752e-06,0.0923055112361908,0.9943181872367859,0.022672154009342194,0.9910472791068867
3,0.9715517163276672,9.999999747378752e-06,0.08777865022420883,0.9943181872367859,0.0219600610435009,0.9910120940587414
4,0.9715517163276672,9.999999747378752e-06,0.0777929276227951,0.9943181872367859,0.020156467333436012,0.9910120940587414
5,0.9737069010734558,9.999999747378752e-06,0.07682124525308609,0.9943181872367859,0.018921446055173874,0.9910255821028608
6,0.973491370677948,9.999999747378752e-06,0.07292962819337845,0.9954545497894287,0.017665423452854156,0.9928109475372218
7,0.9760775566101074,9.999999747378752e-06,0.07188870757818222,0.9954545497894287,0.01663002371788025,0.9928109475372218
8,0.9747844934463501,9.999999747378752e-06,0.06520458310842514,0.9954545497894287,0.017850035801529884,0.9928109475372218
9,0.9754310250282288,9.999999747378752e-06,0.06940433382987976,0.9943181872367859,0.017136020585894585,0.9910131544951079
10,0.9795258641242981,9.999999747378752e-06,0.06097937002778053,0.9954545497894287,0.016414275392889977,0.9928092511724876
11,0.982758641242981,9.999999747378752e-06,0.05155891552567482,0.9965909123420715,0.015546056441962719,0.9946081046509682
12,0.9806034564971924,9.999999747378752e-06,0.054010871797800064,0.9943181872367859,0.01603723131120205,0.9910089119150474
13,0.981249988079071,9.999999747378752e-06,0.054877884685993195,0.9965909123420715,0.014249058440327644,0.9946081046509682
14,0.9855603575706482,9.999999747378752e-06,0.04786795750260353,0.9965909123420715,0.013038396835327148,0.9946081046509682
15,0.9866379499435425,9.999999747378752e-06,0.040614254772663116,0.9965909123420715,0.013646986335515976,0.9946081046509682
16,0.9896551966667175,9.999999747378752e-06,0.03849099203944206,0.9965909123420715,0.014051648788154125,0.9946081046509682
17,0.9866379499435425,9.999999747378752e-06,0.03973589465022087,0.9943181872367859,0.014066210016608238,0.9910089119150474
18,0.9853448271751404,2.499999936844688e-06,0.044309262186288834,0.9943181872367859,0.013948353938758373,0.9910089119150474
19,0.985991358757019,2.499999936844688e-06,0.040350619703531265,0.9943181872367859,0.013890763744711876,0.9910089119150474
