,threshold,known_acceptance,unknown_rejection,macro_f1
0,0.3,1.0,1.0,0.9946081046509682
1,0.31,1.0,1.0,0.9946081046509682
2,0.32,1.0,1.0,0.9946081046509682
3,0.33,1.0,1.0,0.9946081046509682
4,0.34,1.0,1.0,0.9946081046509682
5,0.35000000000000003,1.0,1.0,0.9946081046509682
6,0.36000000000000004,1.0,1.0,0.9946081046509682
7,0.37000000000000005,1.0,1.0,0.9946081046509682
8,0.38000000000000006,0.9979166666666667,1.0,0.9935312835614271
9,0.39000000000000007,0.9979166666666667,1.0,0.9935312835614271
10,0.4000000000000001,0.9979166666666667,1.0,0.9935312835614271
11,0.4100000000000001,0.9979166666666667,1.0,0.9935312835614271
12,0.4200000000000001,0.9979166666666667,1.0,0.9935312835614271
13,0.4300000000000001,0.9979166666666667,1.0,0.9935312835614271
14,0.4400000000000001,0.9979166666666667,1.0,0.9935312835614271
15,0.4500000000000001,0.9979166666666667,1.0,0.9935312835614271
16,0.46000000000000013,0.9979166666666667,1.0,0.9935312835614271
17,0.47000000000000014,0.9979166666666667,1.0,0.9935312835614271
18,0.48000000000000015,0.9979166666666667,1.0,0.9935312835614271
19,0.49000000000000016,0.9979166666666667,1.0,0.9935312835614271
20,0.5000000000000002,0.9979166666666667,1.0,0.9935312835614271
21,0.5100000000000002,0.9979166666666667,1.0,0.9935312835614271
22,0.5200000000000002,0.9958333333333333,1.0,0.9924201304869132
23,0.5300000000000002,0.9958333333333333,1.0,0.9924201304869132
24,0.5400000000000003,0.9958333333333333,1.0,0.9924201304869132
25,0.5500000000000003,0.9958333333333333,1.0,0.9924201304869132
26,0.5600000000000003,0.99375,1.0,0.9912973785831378
27,0.5700000000000003,0.99375,1.0,0.9912973785831378
28,0.5800000000000003,0.9895833333333334,1.0,0.9890763665540271
29,0.5900000000000003,0.9875,1.0,0.9897765823080064
30,0.6000000000000003,0.9875,1.0,0.9897765823080064
31,0.6100000000000003,0.9875,1.0,0.9897765823080064
32,0.6200000000000003,0.9854166666666667,1.0,0.9886794415532792
33,0.6300000000000003,0.9854166666666667,1.0,0.9886794415532792
34,0.6400000000000003,0.9854166666666667,1.0,0.9886794415532792
35,0.6500000000000004,0.9854166666666667,1.0,0.9886794415532792
36,0.6600000000000004,0.9854166666666667,1.0,0.9886794415532792
37,0.6700000000000004,0.9833333333333333,1.0,0.9876056991726784
38,0.6800000000000004,0.9833333333333333,1.0,0.9876056991726784
39,0.6900000000000004,0.98125,1.0,0.9864607776848019
40,0.7000000000000004,0.98125,1.0,0.9864607776848019
41,0.7100000000000004,0.98125,1.0,0.9864607776848019
42,0.7200000000000004,0.98125,1.0,0.9864607776848019
43,0.7300000000000004,0.98125,1.0,0.9864607776848019
44,0.7400000000000004,0.9770833333333333,1.0,0.9841336817732296
45,0.7500000000000004,0.9770833333333333,1.0,0.9841336817732296
46,0.7600000000000005,0.9770833333333333,1.0,0.9841336817732296
47,0.7700000000000005,0.9770833333333333,1.0,0.9841336817732296
48,0.7800000000000005,0.9770833333333333,1.0,0.9841336817732296
49,0.7900000000000005,0.9770833333333333,1.0,0.9841336817732296
50,0.8000000000000005,0.975,1.0,0.9830617327518923
51,0.8100000000000005,0.9729166666666667,1.0,0.9818794681178223
52,0.8200000000000005,0.96875,1.0,0.9814884964555065
53,0.8300000000000005,0.9666666666666667,1.0,0.9804068029078216
54,0.8400000000000005,0.9645833333333333,1.0,0.9793255300403818
55,0.8500000000000005,0.9625,1.0,0.980049376563909
56,0.8600000000000005,0.9625,1.0,0.980049376563909
57,0.8700000000000006,0.9583333333333334,1.0,0.9776475763730633
58,0.8800000000000006,0.95625,1.0,0.9765563804826894
59,0.8900000000000006,0.95625,1.0,0.9765563804826894
60,0.9000000000000006,0.95,1.0,0.9731431951247027
61,0.9100000000000006,0.95,1.0,0.9731431951247027
62,0.9200000000000006,0.9479166666666666,1.0,0.9719088796528925
63,0.9300000000000006,0.9395833333333333,1.0,0.967459069197311
64,0.9400000000000006,0.9333333333333333,1.0,0.964089034783496
65,0.9500000000000006,0.9229166666666667,1.0,0.9581550520259563
66,0.9600000000000006,0.9125,1.0,0.9525982735719846
67,0.9700000000000006,0.9020833333333333,1.0,0.9468863927380149
68,0.9800000000000006,0.88125,1.0,0.9350525757658824
69,0.9900000000000007,0.8520833333333333,1.0,0.9178761062573866
