,threshold,plant_acceptance,nonplant_rejection,balanced_accuracy
0,0.1,1.0,0.85,0.925
1,0.11,1.0,0.8625,0.93125
2,0.12,1.0,0.8775,0.93875
3,0.13,1.0,0.895,0.9475
4,0.13999999999999999,1.0,0.9025,0.9512499999999999
5,0.14999999999999997,1.0,0.9175,0.95875
6,0.15999999999999998,1.0,0.9275,0.96375
7,0.16999999999999998,1.0,0.935,0.9675
8,0.17999999999999997,1.0,0.94,0.97
9,0.18999999999999995,1.0,0.9425,0.97125
10,0.19999999999999996,1.0,0.9475,0.97375
11,0.20999999999999996,1.0,0.95,0.975
12,0.21999999999999995,1.0,0.95,0.975
13,0.22999999999999995,1.0,0.9525,0.9762500000000001
14,0.23999999999999994,1.0,0.96,0.98
15,0.24999999999999992,1.0,0.965,0.9824999999999999
16,0.2599999999999999,1.0,0.9725,0.9862500000000001
17,0.2699999999999999,1.0,0.975,0.9875
18,0.2799999999999999,1.0,0.975,0.9875
19,0.2899999999999999,1.0,0.975,0.9875
20,0.29999999999999993,1.0,0.975,0.9875
21,0.30999999999999994,1.0,0.9775,0.98875
22,0.3199999999999999,1.0,0.9775,0.98875
23,0.32999999999999985,1.0,0.9825,0.99125
24,0.33999999999999986,1.0,0.9825,0.99125
25,0.34999999999999987,1.0,0.9825,0.99125
26,0.3599999999999999,1.0,0.985,0.9924999999999999
27,0.3699999999999999,1.0,0.985,0.9924999999999999
28,0.3799999999999999,1.0,0.985,0.9924999999999999
29,0.3899999999999999,1.0,0.9875,0.99375
30,0.3999999999999998,1.0,0.99,0.995
31,0.4099999999999998,1.0,0.9925,0.9962500000000001
32,0.4199999999999998,1.0,0.9925,0.9962500000000001
33,0.4299999999999998,1.0,0.9925,0.9962500000000001
34,0.43999999999999984,1.0,0.9925,0.9962500000000001
35,0.44999999999999984,1.0,0.9925,0.9962500000000001
36,0.45999999999999985,1.0,0.9925,0.9962500000000001
37,0.46999999999999986,1.0,0.9925,0.9962500000000001
38,0.47999999999999976,1.0,0.9925,0.9962500000000001
39,0.48999999999999977,1.0,0.9975,0.99875
40,0.4999999999999998,1.0,0.9975,0.99875
41,0.5099999999999998,1.0,0.9975,0.99875
42,0.5199999999999998,1.0,0.9975,0.99875
43,0.5299999999999998,1.0,0.9975,0.99875
44,0.5399999999999998,1.0,0.9975,0.99875
45,0.5499999999999998,1.0,0.9975,0.99875
46,0.5599999999999997,1.0,0.9975,0.99875
47,0.5699999999999997,1.0,1.0,1.0
48,0.5799999999999997,1.0,1.0,1.0
49,0.5899999999999997,1.0,1.0,1.0
50,0.5999999999999998,1.0,1.0,1.0
51,0.6099999999999998,1.0,1.0,1.0
52,0.6199999999999998,1.0,1.0,1.0
53,0.6299999999999997,1.0,1.0,1.0
54,0.6399999999999997,1.0,1.0,1.0
55,0.6499999999999997,1.0,1.0,1.0
56,0.6599999999999997,1.0,1.0,1.0
57,0.6699999999999997,1.0,1.0,1.0
58,0.6799999999999997,1.0,1.0,1.0
59,0.6899999999999997,1.0,1.0,1.0
60,0.6999999999999996,1.0,1.0,1.0
61,0.7099999999999996,1.0,1.0,1.0
62,0.7199999999999996,1.0,1.0,1.0
63,0.7299999999999996,1.0,1.0,1.0
64,0.7399999999999997,1.0,1.0,1.0
65,0.7499999999999997,1.0,1.0,1.0
66,0.7599999999999997,1.0,1.0,1.0
67,0.7699999999999997,1.0,1.0,1.0
68,0.7799999999999997,0.9979166666666667,1.0,0.9989583333333334
69,0.7899999999999996,0.9979166666666667,1.0,0.9989583333333334
70,0.7999999999999996,0.9979166666666667,1.0,0.9989583333333334
71,0.8099999999999996,0.9979166666666667,1.0,0.9989583333333334
72,0.8199999999999996,0.9979166666666667,1.0,0.9989583333333334
73,0.8299999999999996,0.9979166666666667,1.0,0.9989583333333334
74,0.8399999999999996,0.9958333333333333,1.0,0.9979166666666667
75,0.8499999999999996,0.9895833333333334,1.0,0.9947916666666667
76,0.8599999999999995,0.9895833333333334,1.0,0.9947916666666667
77,0.8699999999999996,0.9875,1.0,0.99375
78,0.8799999999999996,0.9875,1.0,0.99375
79,0.8899999999999996,0.9833333333333333,1.0,0.9916666666666667
80,0.8999999999999996,0.98125,1.0,0.990625
81,0.9099999999999996,0.9770833333333333,1.0,0.9885416666666667
82,0.9199999999999996,0.9729166666666667,1.0,0.9864583333333333
83,0.9299999999999996,0.96875,1.0,0.984375
84,0.9399999999999996,0.9645833333333333,1.0,0.9822916666666667
85,0.9499999999999995,0.9583333333333334,1.0,0.9791666666666667
86,0.9599999999999995,0.94375,1.0,0.971875
87,0.9699999999999995,0.91875,1.0,0.959375
88,0.9799999999999995,0.8583333333333333,1.0,0.9291666666666667
89,0.9899999999999995,0.7104166666666667,1.0,0.8552083333333333
